data 2020-11-18 14:47:12 , accessi 144 , mappa:  167 , grafico:  109 , downdati:  109 , downgrafico:  109
data 2020-11-18 14:47:22 , accessi 145 , mappa:  167 , grafico:  109 , downdati:  109 , downgrafico:  109
data 2020-11-18 14:47:37 , accessi 146 , mappa:  167 , grafico:  109 , downdati:  109 , downgrafico:  109
data 2020-11-18 14:47:39 , accessi 147 , mappa:  167 , grafico:  109 , downdati:  109 , downgrafico:  109
data 2020-11-18 14:47:45 , accessi 148 , mappa:  167 , grafico:  109 , downdati:  109 , downgrafico:  109
data 2020-11-18 14:47:54 , accessi 149 , mappa:  167 , grafico:  109 , downdati:  109 , downgrafico:  109
data 2020-11-18 14:48:15 , accessi 150 , mappa:  167 , grafico:  109 , downdati:  109 , downgrafico:  109
data 2020-11-18 14:48:19 , accessi 151 , mappa:  167 , grafico:  109 , downdati:  109 , downgrafico:  109
data 2020-11-18 14:48:25 , accessi 152 , mappa:  167 , grafico:  109 , downdati:  109 , downgrafico:  109
data 2020-11-18 14:48:41 , accessi 153 , mappa:  167 , grafico:  109 , downdati:  109 , downgrafico:  109
data 2020-11-18 14:48:49 , accessi 154 , mappa:  167 , grafico:  109 , downdati:  109 , downgrafico:  109
data 2020-11-18 14:49:11 , accessi 155 , mappa:  167 , grafico:  109 , downdati:  109 , downgrafico:  109
data 2020-11-18 14:49:18 , accessi 156 , mappa:  167 , grafico:  109 , downdati:  109 , downgrafico:  109
data 2020-11-18 14:49:33 , accessi 156 , mappa:  168 , grafico:  109 , downdati:  109 , downgrafico:  109
data 2020-11-18 14:49:47 , accessi 157 , mappa:  168 , grafico:  109 , downdati:  109 , downgrafico:  109
data 2020-11-18 14:49:51 , accessi 158 , mappa:  168 , grafico:  109 , downdati:  109 , downgrafico:  109
data 2020-11-18 14:49:54 , accessi 159 , mappa:  168 , grafico:  109 , downdati:  109 , downgrafico:  109
data 2020-11-18 14:51:01 , accessi 160 , mappa:  168 , grafico:  109 , downdati:  109 , downgrafico:  109
data 2020-11-18 14:51:03 , accessi 161 , mappa:  168 , grafico:  109 , downdati:  109 , downgrafico:  109
data 2020-11-18 14:51:06 , accessi 162 , mappa:  168 , grafico:  109 , downdati:  109 , downgrafico:  109
data 2020-11-18 14:51:49 , accessi 162 , mappa:  168 , grafico:  110 , downdati:  109 , downgrafico:  109
data 2020-11-18 14:51:49 , accessi 162 , mappa:  168 , grafico:  110 , downdati:  110 , downgrafico:  109
data 2020-11-18 14:51:49 , accessi 162 , mappa:  168 , grafico:  110 , downdati:  110 , downgrafico:  110
data 2020-11-18 14:51:50 , accessi 163 , mappa:  168 , grafico:  110 , downdati:  110 , downgrafico:  110
data 2020-11-18 14:51:53 , accessi 164 , mappa:  168 , grafico:  110 , downdati:  110 , downgrafico:  110
data 2020-11-18 14:52:00 , accessi 165 , mappa:  168 , grafico:  110 , downdati:  110 , downgrafico:  110
data 2020-11-18 14:52:15 , accessi 165 , mappa:  169 , grafico:  110 , downdati:  110 , downgrafico:  110
data 2020-11-18 14:53:08 , accessi 165 , mappa:  170 , grafico:  110 , downdati:  110 , downgrafico:  110
data 2020-11-18 14:53:09 , accessi 166 , mappa:  170 , grafico:  110 , downdati:  110 , downgrafico:  110
data 2020-11-18 14:55:24 , accessi 167 , mappa:  170 , grafico:  110 , downdati:  110 , downgrafico:  110
data 2020-11-18 15:00:43 , accessi 168 , mappa:  170 , grafico:  110 , downdati:  110 , downgrafico:  110
data 2020-11-18 15:02:53 , accessi 169 , mappa:  170 , grafico:  110 , downdati:  110 , downgrafico:  110
data 2020-11-18 15:05:05 , accessi 169 , mappa:  171 , grafico:  110 , downdati:  110 , downgrafico:  110
data 2020-11-18 15:08:58 , accessi 170 , mappa:  171 , grafico:  110 , downdati:  110 , downgrafico:  110
data 2020-11-18 15:11:44 , accessi 170 , mappa:  172 , grafico:  110 , downdati:  110 , downgrafico:  110
data 2020-11-18 15:13:00 , accessi 171 , mappa:  172 , grafico:  110 , downdati:  110 , downgrafico:  110
data 2020-11-18 15:26:03 , accessi 172 , mappa:  172 , grafico:  110 , downdati:  110 , downgrafico:  110
data 2020-11-18 15:42:07 , accessi 173 , mappa:  172 , grafico:  110 , downdati:  110 , downgrafico:  110
data 2020-11-18 15:42:27 , accessi 174 , mappa:  172 , grafico:  110 , downdati:  110 , downgrafico:  110
data 2020-11-18 15:44:43 , accessi 175 , mappa:  172 , grafico:  110 , downdati:  110 , downgrafico:  110
data 2020-11-18 15:45:36 , accessi 175 , mappa:  173 , grafico:  110 , downdati:  110 , downgrafico:  110
data 2020-11-18 15:45:58 , accessi 175 , mappa:  173 , grafico:  111 , downdati:  110 , downgrafico:  110
data 2020-11-18 15:45:59 , accessi 175 , mappa:  173 , grafico:  111 , downdati:  111 , downgrafico:  110
data 2020-11-18 15:45:59 , accessi 175 , mappa:  173 , grafico:  111 , downdati:  111 , downgrafico:  111
data 2020-11-18 15:47:52 , accessi 176 , mappa:  173 , grafico:  111 , downdati:  111 , downgrafico:  111
data 2020-11-18 15:50:49 , accessi 176 , mappa:  173 , grafico:  112 , downdati:  111 , downgrafico:  111
data 2020-11-18 15:50:49 , accessi 176 , mappa:  173 , grafico:  112 , downdati:  112 , downgrafico:  111
data 2020-11-18 15:50:49 , accessi 176 , mappa:  173 , grafico:  112 , downdati:  112 , downgrafico:  112
data 2020-11-18 15:51:54 , accessi 176 , mappa:  174 , grafico:  112 , downdati:  112 , downgrafico:  112
data 2020-11-18 15:52:19 , accessi 176 , mappa:  175 , grafico:  112 , downdati:  112 , downgrafico:  112
data 2020-11-18 15:52:31 , accessi 176 , mappa:  176 , grafico:  112 , downdati:  112 , downgrafico:  112
data 2020-11-18 15:52:44 , accessi 176 , mappa:  177 , grafico:  112 , downdati:  112 , downgrafico:  112
data 2020-11-18 15:57:50 , accessi 177 , mappa:  177 , grafico:  112 , downdati:  112 , downgrafico:  112
